sciname,lat,lon,source
Akodon azarae,-37.83,-57.50,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-38.60,-64.43,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-38.73,-62.27,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-38.99,-61.32,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-39.65,-62.12,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-40.50,-63.37,"Mammals of South America, Volume 2, Rodentia"
Akodon azarae,-40.96,-62.80,"Mammals of South America, Volume 2, Rodentia"
Akodon philipmyersi,-27.53,-55.87,"Mammals of South America, Volume 2, Rodentia"
Akodon philipmyersi,-27.60,-55.84,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-29.58,-52.20,Mamíferos do Rio Grande do Sul
Akodon reigi,-29.70,-53.70,Mamíferos do Rio Grande do Sul
Akodon reigi,-31.77,-52.33,Mamíferos do Rio Grande do Sul
Akodon reigi,-31.77,-56.03,Mamíferos do Rio Grande do Sul
Akodon reigi,-32.48,-52.57,Mamíferos do Rio Grande do Sul
Akodon reigi,-32.68,-52.55,Mamíferos do Rio Grande do Sul
Akodon reigi,-31.70,-55.98,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-32.50,-55.32,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-32.67,-52.58,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-33.67,-54.33,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-34.00,-54.67,"Mammals of South America, Volume 2, Rodentia"
Akodon reigi,-34.25,-54.75,"Mammals of South America, Volume 2, Rodentia"
Bibimys torresi,-33.73,-59.22,"Mammals of South America, Volume 2, Rodentia"
Bibimys torresi,-34.17,-58.87,"Mammals of South America, Volume 2, Rodentia"
Bibimys torresi,-34.18,-58.70,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-26.91,-59.53,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-26.83,-59.67,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-27.71,-57.19,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-29.15,-59.26,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-31.88,-58.29,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-31.84,-58.32,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-32.07,-57.19,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-33.22,-59.37,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-16.19,-55.97,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-13.68,-57.89,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-20.50,-53.30,"Mammals of South America, Volume 2, Rodentia"
Calomys callidus,-11.65,-61.20,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-31.23,-64.45,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-33.02,-64.37,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-32.00,-67.00,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-32.55,-67.03,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-32.22,-66.64,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-32.60,-66.13,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-30.37,-64.37,"Mammals of South America, Volume 2, Rodentia"
Calomys venustus,-29.40,-63.60,"Mammals of South America, Volume 2, Rodentia"
